date,category,product,region,quantity,unit_price,amount,customer_id,status,rating
2024-01-05,Electronics,Laptop Pro,North,2,1299.99,2599.98,C001,completed,4.5
2024-01-08,Electronics,Wireless Mouse,South,5,29.99,149.95,C002,completed,4.2
2024-01-12,Office,Standing Desk,East,1,599.99,599.99,C003,completed,4.8
2024-01-15,Electronics,Monitor 4K,West,3,449.99,1349.97,C004,completed,4.6
2024-01-18,Accessories,USB-C Hub,North,10,49.99,499.90,C005,completed,4.1
2024-01-22,Office,Ergonomic Chair,South,2,399.99,799.98,C006,completed,4.7
2024-01-25,Electronics,Tablet Air,East,4,649.99,2599.96,C007,completed,4.4
2024-01-28,Accessories,Webcam HD,West,8,79.99,639.92,C008,completed,3.9
2024-02-01,Electronics,Laptop Pro,North,1,1299.99,1299.99,C009,completed,4.5
2024-02-04,Software,Cloud Suite,South,15,19.99,299.85,C010,completed,4.0
2024-02-07,Office,Whiteboard,East,3,149.99,449.97,C011,completed,4.3
2024-02-10,Electronics,Wireless Mouse,West,12,29.99,359.88,C012,completed,4.2
2024-02-13,Accessories,Keyboard Mech,North,6,89.99,539.94,C013,completed,4.6
2024-02-16,Electronics,Monitor 4K,South,2,449.99,899.98,C014,completed,4.5
2024-02-19,Office,Standing Desk,East,1,599.99,599.99,C015,pending,4.8
2024-02-22,Software,Design Tool,West,8,39.99,319.92,C016,completed,4.1
2024-02-25,Electronics,Tablet Air,North,3,649.99,1949.97,C017,completed,4.3
2024-02-28,Accessories,USB-C Hub,South,7,49.99,349.93,C018,completed,4.0
2024-03-03,Electronics,Laptop Pro,East,2,1299.99,2599.98,C019,completed,4.7
2024-03-06,Office,Ergonomic Chair,West,4,399.99,1599.96,C020,completed,4.9
2024-03-09,Software,Cloud Suite,North,20,19.99,399.80,C001,completed,4.2
2024-03-12,Electronics,Monitor 4K,South,5,449.99,2249.95,C002,completed,4.5
2024-03-15,Accessories,Webcam HD,East,6,79.99,479.94,C003,completed,4.0
2024-03-18,Electronics,Wireless Mouse,West,15,29.99,449.85,C004,completed,4.3
2024-03-21,Office,Standing Desk,North,2,599.99,1199.98,C005,completed,4.7
2024-03-24,Software,Design Tool,South,10,39.99,399.90,C006,completed,4.4
2024-03-27,Electronics,Tablet Air,East,3,649.99,1949.97,C007,pending,4.5
2024-03-30,Accessories,Keyboard Mech,West,8,89.99,719.92,C008,completed,4.6
2024-04-02,Electronics,Laptop Pro,North,3,1349.99,4049.97,C009,completed,4.8
2024-04-05,Office,Whiteboard,South,5,149.99,749.95,C010,completed,4.1
2024-04-08,Electronics,Monitor 4K,East,4,449.99,1799.96,C011,completed,4.6
2024-04-11,Software,Cloud Suite,West,25,19.99,499.75,C012,completed,4.3
2024-04-14,Accessories,USB-C Hub,North,12,49.99,599.88,C013,completed,4.2
2024-04-17,Electronics,Wireless Mouse,South,10,29.99,299.90,C014,completed,4.0
2024-04-20,Office,Ergonomic Chair,East,3,399.99,1199.97,C015,completed,4.8
2024-04-23,Electronics,Tablet Air,West,5,649.99,3249.95,C016,completed,4.5
2024-04-26,Accessories,Webcam HD,North,4,79.99,319.96,C017,completed,3.8
2024-04-29,Software,Design Tool,South,12,39.99,479.88,C018,completed,4.3
2024-05-02,Electronics,Laptop Pro,East,1,1349.99,1349.99,C019,completed,4.6
2024-05-05,Office,Standing Desk,West,3,599.99,1799.97,C020,completed,4.9
2024-05-08,Electronics,Monitor 4K,North,6,449.99,2699.94,C001,completed,4.7
2024-05-11,Accessories,Keyboard Mech,South,9,89.99,809.91,C002,completed,4.5
2024-05-14,Software,Cloud Suite,East,30,19.99,599.70,C003,completed,4.4
2024-05-17,Electronics,Wireless Mouse,West,8,29.99,239.92,C004,pending,4.1
2024-05-20,Office,Ergonomic Chair,North,2,399.99,799.98,C005,completed,4.7
2024-05-23,Electronics,Tablet Air,South,4,649.99,2599.96,C006,completed,4.4
2024-05-26,Accessories,USB-C Hub,East,15,49.99,749.85,C007,completed,4.3
2024-05-29,Electronics,Laptop Pro,West,2,1349.99,2699.98,C008,completed,4.8
2024-06-01,Office,Whiteboard,North,4,149.99,599.96,C009,completed,4.2
2024-06-04,Software,Design Tool,South,15,39.99,599.85,C010,completed,4.5
2024-06-07,Electronics,Monitor 4K,East,3,449.99,1349.97,C011,completed,4.4
2024-06-10,Accessories,Webcam HD,West,10,79.99,799.90,C012,completed,4.1
2024-06-13,Electronics,Wireless Mouse,North,20,29.99,599.80,C013,completed,4.3
2024-06-16,Office,Standing Desk,South,2,599.99,1199.98,C014,completed,4.8
2024-06-19,Software,Cloud Suite,East,35,19.99,699.65,C015,completed,4.6
2024-06-22,Electronics,Tablet Air,West,6,649.99,3899.94,C016,completed,4.5
2024-06-25,Accessories,Keyboard Mech,North,7,89.99,629.93,C017,completed,4.7
2024-06-28,Electronics,Laptop Pro,South,3,1349.99,4049.97,C018,completed,4.9
2024-07-01,Office,Ergonomic Chair,East,5,399.99,1999.95,C019,completed,4.8
2024-07-04,Electronics,Monitor 4K,West,4,479.99,1919.96,C020,completed,4.6
2024-07-07,Software,Design Tool,North,18,39.99,719.82,C001,completed,4.4
2024-07-10,Accessories,USB-C Hub,South,20,49.99,999.80,C002,completed,4.2
2024-07-13,Electronics,Wireless Mouse,East,12,29.99,359.88,C003,completed,4.1
2024-07-16,Office,Standing Desk,West,4,599.99,2399.96,C004,completed,4.9
2024-07-19,Electronics,Tablet Air,North,5,649.99,3249.95,C005,completed,4.6
2024-07-22,Accessories,Webcam HD,South,8,79.99,639.92,C006,pending,3.9
2024-07-25,Software,Cloud Suite,East,40,19.99,799.60,C007,completed,4.5
2024-07-28,Electronics,Laptop Pro,West,4,1349.99,5399.96,C008,completed,4.8
2024-07-31,Office,Whiteboard,North,6,149.99,899.94,C009,completed,4.3
2024-08-03,Electronics,Monitor 4K,South,5,479.99,2399.95,C010,completed,4.7
2024-08-06,Accessories,Keyboard Mech,East,10,89.99,899.90,C011,completed,4.5
2024-08-09,Electronics,Wireless Mouse,West,18,29.99,539.82,C012,completed,4.2
2024-08-12,Software,Design Tool,North,20,39.99,799.80,C013,completed,4.6
2024-08-15,Office,Ergonomic Chair,South,3,399.99,1199.97,C014,completed,4.7
2024-08-18,Electronics,Tablet Air,East,7,649.99,4549.93,C015,completed,4.5
2024-08-21,Accessories,USB-C Hub,West,18,49.99,899.82,C016,completed,4.3
2024-08-24,Electronics,Laptop Pro,North,2,1349.99,2699.98,C017,completed,4.7
2024-08-27,Software,Cloud Suite,South,45,19.99,899.55,C018,completed,4.4
2024-08-30,Office,Standing Desk,East,3,599.99,1799.97,C019,completed,4.8
2024-09-02,Electronics,Monitor 4K,West,6,479.99,2879.94,C020,completed,4.6
2024-09-05,Accessories,Webcam HD,North,12,79.99,959.88,C001,completed,4.0
2024-09-08,Electronics,Wireless Mouse,South,15,29.99,449.85,C002,completed,4.3
2024-09-11,Office,Whiteboard,East,8,149.99,1199.92,C003,completed,4.4
2024-09-14,Software,Design Tool,West,22,39.99,879.78,C004,completed,4.5
2024-09-17,Electronics,Tablet Air,North,4,649.99,2599.96,C005,completed,4.4
2024-09-20,Accessories,Keyboard Mech,South,11,89.99,989.89,C006,completed,4.6
2024-09-23,Electronics,Laptop Pro,East,5,1399.99,6999.95,C007,completed,4.9
2024-09-26,Office,Ergonomic Chair,West,4,399.99,1599.96,C008,completed,4.8
2024-09-29,Software,Cloud Suite,North,50,19.99,999.50,C009,completed,4.7
2024-10-02,Electronics,Monitor 4K,South,7,479.99,3359.93,C010,completed,4.5
2024-10-05,Accessories,USB-C Hub,East,22,49.99,1099.78,C011,completed,4.1
2024-10-08,Electronics,Wireless Mouse,West,20,29.99,599.80,C012,completed,4.2
2024-10-11,Office,Standing Desk,North,5,599.99,2999.95,C013,completed,4.9
2024-10-14,Software,Design Tool,South,25,39.99,999.75,C014,completed,4.6
2024-10-17,Electronics,Tablet Air,East,6,649.99,3899.94,C015,completed,4.5
2024-10-20,Accessories,Webcam HD,West,14,79.99,1119.86,C016,completed,4.2
2024-10-23,Electronics,Laptop Pro,North,3,1399.99,4199.97,C017,completed,4.8
2024-10-26,Office,Whiteboard,South,10,149.99,1499.90,C018,completed,4.3
2024-10-29,Software,Cloud Suite,East,55,19.99,1099.45,C019,completed,4.8
